Key,Id,English(en),French(fr),Italian(it),Japanese(ja),Korean(ko)
"WORD_MENU_APPLICATON_CLOSE",552562152116224,"App exit","Application terminée","Chiusura dell'app.","アプリ終了","앱 종료"
"WORD_MENU_SELECT_MODEL",557971768283136,"Model addition/change","Ajout ou modification de modèle","Aggiunta o modifica del modello","モデル追加・変更","모델 추가・변경"
"WORD_MENU_HELP",557971768283134,"Help","Aide","Aiuto","ヘルプ","도움"
"WORD_MENU_APPLICATOIN_SETTING",557971768283131,"Setting","paramètres","Impostazioni","設定","설정"
"MSG_NEW_VERSION",2499933916303360,"A new version v{0} has been released.","La nouvelle version de v{0} a été publiée.","È stata rilasciata la nuova versione di v{0}.","新しいVerのv{0}が\nリリースされています","새로운 Ver의 v{0}가\n배포되었습니다"
"WORD_CLOSE_BUTTON_TEXT",3116372423544832,"Close","Fermer","Chiudere","閉じる","닫기"
"MSG_SKIP_UPDATE_DIALOG_TOGGLE_TEXT",3116588740579328,"Do not display the dialog until the next version.","Ne pas afficher de dialogue jusqu'à la prochaine version","Non mostrare il dialogo fino alla prossima versione.","次のversionまでダイアログを表示しない","다음 버전까지 다이얼로그를 표시하지 않음"
"WORD_SEND_MESSAGE_BUTTON_TEXT",4547369455259648,"Send","Envoi","Invio","送信","전송"
"WORD_AI_CHAT",4599798494334976,"Chat","Chat","Chat","チャット","챗봇"
"WORD_WEB_UI_BUTTON",4600571496173568,"Web UI","Interface utilisateur web","Interfaccia web","ウェブUI","웹 UI"
"WORD_ADD_BUTTON",5073601682935808,"Addition","Ajout","Aggiunta","追加","추가"
"WORD_ADD_MODEL_PATH_PLACEHOLDER",5074280786890752,"Path to add the model","Chemin du modèle à ajouter","Percorso del modello da aggiungere","追加するモデルのパス","추가할 모델의 경로"
"WORD_ADD_DRAG_MODEL",5075115772153856,"Add VRM model by dragging.","Ajoutez un modèle VRM en faisant glisser.","Aggiungi un modello VRM tramite drag and drop.","ドラッグでVRMモデルを追加","드래그로 VRM 모델 추가"
"WORD_OPEN_MODEL",5282738060595200,"Select a model from the folder.","Sélectionnez un modèle dans le dossier.","Seleziona il modello dalla cartella","モデルをフォルダから選択","폴더에서 모델 선택하기"
